Date,Price,Year,Month,Day
04/01/2000,281,2000,1,4
05/01/2000,283.2,2000,1,5
06/01/2000,281.4,2000,1,6
07/01/2000,281.9,2000,1,7
10/01/2000,281.7,2000,1,10
11/01/2000,283.4,2000,1,11
12/01/2000,282.7,2000,1,12
13/01/2000,284.1,2000,1,13
14/01/2000,283.9,2000,1,14
18/01/2000,288.6,2000,1,18
19/01/2000,289.8,2000,1,19
20/01/2000,288.8,2000,1,20
21/01/2000,289.3,2000,1,21
24/01/2000,288,2000,1,24
25/01/2000,286.3,2000,1,25
26/01/2000,286.3,2000,1,26
27/01/2000,287.1,2000,1,27
28/01/2000,287.1,2000,1,28
31/01/2000,283,2000,1,31
01/02/2000,282.3,2000,2,1
02/02/2000,283.5,2000,2,2
03/02/2000,284.3,2000,2,3
04/02/2000,289.3,2000,2,4
07/02/2000,313,2000,2,7
08/02/2000,303.9,2000,2,8
09/02/2000,295,2000,2,9
10/02/2000,307.9,2000,2,10
11/02/2000,314,2000,2,11
14/02/2000,311,2000,2,14
15/02/2000,307.5,2000,2,15
16/02/2000,302.3,2000,2,16
17/02/2000,307,2000,2,17
18/02/2000,306,2000,2,18
22/02/2000,304,2000,2,22
23/02/2000,303,2000,2,23
24/02/2000,302.2,2000,2,24
25/02/2000,297.8,2000,2,25
28/02/2000,292.3,2000,2,28
29/02/2000,292.4,2000,2,29
01/03/2000,291.5,2000,3,1
02/03/2000,288.2,2000,3,2
03/03/2000,288.8,2000,3,3
06/03/2000,287.9,2000,3,6
07/03/2000,292.2,2000,3,7
08/03/2000,288.9,2000,3,8
09/03/2000,291.2,2000,3,9
10/03/2000,288.6,2000,3,10
13/03/2000,290.1,2000,3,13
14/03/2000,288.3,2000,3,14
15/03/2000,288.7,2000,3,15
16/03/2000,286.1,2000,3,16
17/03/2000,284.1,2000,3,17
20/03/2000,285.6,2000,3,20
21/03/2000,289.8,2000,3,21
22/03/2000,287.8,2000,3,22
23/03/2000,284.9,2000,3,23
24/03/2000,284.7,2000,3,24
27/03/2000,280.1,2000,3,27
28/03/2000,279.2,2000,3,28
29/03/2000,275.8,2000,3,29
30/03/2000,275,2000,3,30
31/03/2000,275.5,2000,3,31
03/04/2000,278.4,2000,4,3
04/04/2000,278.1,2000,4,4
05/04/2000,284,2000,4,5
06/04/2000,278.5,2000,4,6
07/04/2000,280,2000,4,7
10/04/2000,282.7,2000,4,10
11/04/2000,282.9,2000,4,11
12/04/2000,279.2,2000,4,12
13/04/2000,280.5,2000,4,13
14/04/2000,284.8,2000,4,14
17/04/2000,283.2,2000,4,17
18/04/2000,281,2000,4,18
19/04/2000,281.3,2000,4,19
20/04/2000,280,2000,4,20
24/04/2000,280.9,2000,4,24
25/04/2000,280.2,2000,4,25
26/04/2000,277.5,2000,4,26
27/04/2000,276.8,2000,4,27
28/04/2000,273.1,2000,4,28
01/05/2000,273.2,2000,5,1
02/05/2000,275.4,2000,5,2
03/05/2000,277.5,2000,5,3
04/05/2000,279.6,2000,5,4
05/05/2000,278.5,2000,5,5
08/05/2000,276.4,2000,5,8
09/05/2000,277,2000,5,9
10/05/2000,277.7,2000,5,10
11/05/2000,275.6,2000,5,11
12/05/2000,276,2000,5,12
15/05/2000,275.6,2000,5,15
16/05/2000,275.5,2000,5,16
17/05/2000,272.7,2000,5,17
18/05/2000,273,2000,5,18
19/05/2000,274.1,2000,5,19
22/05/2000,275.8,2000,5,22
23/05/2000,274.4,2000,5,23
24/05/2000,273.5,2000,5,24
25/05/2000,270.5,2000,5,25
26/05/2000,272.2,2000,5,26
30/05/2000,272.3,2000,5,30
31/05/2000,272,2000,5,31
01/06/2000,272,2000,6,1
02/06/2000,275,2000,6,2
05/06/2000,282.5,2000,6,5
06/06/2000,286,2000,6,6
07/06/2000,287.3,2000,6,7
08/06/2000,286,2000,6,8
09/06/2000,275.5,2000,6,9
12/06/2000,284.5,2000,6,12
13/06/2000,287.5,2000,6,13
14/06/2000,290.3,2000,6,14
15/06/2000,288,2000,6,15
16/06/2000,291.5,2000,6,16
19/06/2000,288,2000,6,19
20/06/2000,285,2000,6,20
21/06/2000,286.5,2000,6,21
22/06/2000,288,2000,6,22
23/06/2000,282.7,2000,6,23
26/06/2000,284,2000,6,26
27/06/2000,285.6,2000,6,27
28/06/2000,292.5,2000,6,28
29/06/2000,289.3,2000,6,29
30/06/2000,290.1,2000,6,30
05/07/2000,283.9,2000,7,5
06/07/2000,283.2,2000,7,6
07/07/2000,283.2,2000,7,7
10/07/2000,283.6,2000,7,10
11/07/2000,282.2,2000,7,11
12/07/2000,280.4,2000,7,12
13/07/2000,280,2000,7,13
14/07/2000,281.1,2000,7,14
17/07/2000,283.4,2000,7,17
18/07/2000,282.5,2000,7,18
19/07/2000,279,2000,7,19
20/07/2000,279.8,2000,7,20
21/07/2000,280.1,2000,7,21
24/07/2000,278.8,2000,7,24
25/07/2000,278.9,2000,7,25
26/07/2000,279.4,2000,7,26
27/07/2000,278.6,2000,7,27
28/07/2000,278.5,2000,7,28
31/07/2000,277.6,2000,7,31
01/08/2000,276,2000,8,1
02/08/2000,276.5,2000,8,2
03/08/2000,275.3,2000,8,3
04/08/2000,273,2000,8,4
07/08/2000,273.5,2000,8,7
08/08/2000,273.3,2000,8,8
09/08/2000,271.5,2000,8,9
10/08/2000,271.5,2000,8,10
11/08/2000,273.2,2000,8,11
14/08/2000,274.5,2000,8,14
15/08/2000,274.4,2000,8,15
16/08/2000,276.4,2000,8,16
17/08/2000,277.8,2000,8,17
18/08/2000,276,2000,8,18
21/08/2000,275.5,2000,8,21
22/08/2000,272.5,2000,8,22
23/08/2000,271,2000,8,23
24/08/2000,272.6,2000,8,24
25/08/2000,272.8,2000,8,25
28/08/2000,274,2000,8,28
29/08/2000,273.5,2000,8,29
30/08/2000,273.9,2000,8,30
31/08/2000,274.8,2000,8,31
01/09/2000,277,2000,9,1
05/09/2000,275.8,2000,9,5
06/09/2000,274.2,2000,9,6
07/09/2000,274,2000,9,7
08/09/2000,273.3,2000,9,8
11/09/2000,273.1,2000,9,11
12/09/2000,272.9,2000,9,12
13/09/2000,272.8,2000,9,13
14/09/2000,272.4,2000,9,14
15/09/2000,272.3,2000,9,15
18/09/2000,271.4,2000,9,18
19/09/2000,271.9,2000,9,19
20/09/2000,269,2000,9,20
21/09/2000,270.3,2000,9,21
22/09/2000,271.8,2000,9,22
25/09/2000,274.1,2000,9,25
26/09/2000,273.9,2000,9,26
27/09/2000,278.4,2000,9,27
28/09/2000,277.5,2000,9,28
29/09/2000,274.6,2000,9,29
02/10/2000,272.8,2000,10,2
03/10/2000,272.1,2000,10,3
04/10/2000,270.5,2000,10,4
05/10/2000,270.3,2000,10,5
06/10/2000,269.8,2000,10,6
09/10/2000,269.1,2000,10,9
10/10/2000,272.4,2000,10,10
11/10/2000,272.5,2000,10,11
12/10/2000,274,2000,10,12
13/10/2000,274.2,2000,10,13
16/10/2000,271.5,2000,10,16
17/10/2000,271.1,2000,10,17
18/10/2000,270.3,2000,10,18
19/10/2000,270.1,2000,10,19
20/10/2000,271.2,2000,10,20
23/10/2000,271.7,2000,10,23
24/10/2000,269.8,2000,10,24
25/10/2000,267.1,2000,10,25
26/10/2000,266,2000,10,26
27/10/2000,265.5,2000,10,27
30/10/2000,264.3,2000,10,30
31/10/2000,264.5,2000,10,31
01/11/2000,263.9,2000,11,1
02/11/2000,264.4,2000,11,2
03/11/2000,264.6,2000,11,3
06/11/2000,264.5,2000,11,6
07/11/2000,264.3,2000,11,7
08/11/2000,265,2000,11,8
09/11/2000,265.8,2000,11,9
10/11/2000,264.5,2000,11,10
13/11/2000,264.3,2000,11,13
14/11/2000,264.9,2000,11,14
15/11/2000,265.1,2000,11,15
16/11/2000,265.8,2000,11,16
17/11/2000,265.2,2000,11,17
20/11/2000,266.3,2000,11,20
21/11/2000,265.7,2000,11,21
22/11/2000,266.3,2000,11,22
27/11/2000,270.1,2000,11,27
28/11/2000,269.8,2000,11,28
29/11/2000,269.6,2000,11,29
30/11/2000,266.4,2000,11,30
01/12/2000,269.7,2000,12,1
04/12/2000,271,2000,12,4
05/12/2000,270.9,2000,12,5
06/12/2000,271,2000,12,6
07/12/2000,274.3,2000,12,7
08/12/2000,272.7,2000,12,8
11/12/2000,270.7,2000,12,11
12/12/2000,270.3,2000,12,12
13/12/2000,270,2000,12,13
14/12/2000,268.6,2000,12,14
15/12/2000,269.2,2000,12,15
18/12/2000,270,2000,12,18
19/12/2000,269.7,2000,12,19
20/12/2000,272,2000,12,20
21/12/2000,273,2000,12,21
22/12/2000,274,2000,12,22
26/12/2000,273.2,2000,12,26
27/12/2000,274.5,2000,12,27
28/12/2000,273.2,2000,12,28
29/12/2000,272,2000,12,29
02/01/2001,268.4,2001,1,2
03/01/2001,268,2001,1,3
04/01/2001,267.3,2001,1,4
05/01/2001,268,2001,1,5
08/01/2001,268,2001,1,8
09/01/2001,267.5,2001,1,9
10/01/2001,264.7,2001,1,10
11/01/2001,264,2001,1,11
12/01/2001,263.9,2001,1,12
16/01/2001,263.3,2001,1,16
17/01/2001,263.2,2001,1,17
18/01/2001,264.2,2001,1,18
19/01/2001,264.3,2001,1,19
22/01/2001,266.4,2001,1,22
23/01/2001,266.1,2001,1,23
24/01/2001,264.3,2001,1,24
25/01/2001,264.5,2001,1,25
26/01/2001,262.8,2001,1,26
29/01/2001,262.8,2001,1,29
30/01/2001,262.9,2001,1,30
31/01/2001,265.2,2001,1,31
01/02/2001,266.3,2001,2,1
02/02/2001,268,2001,2,2
05/02/2001,265.1,2001,2,5
06/02/2001,263.9,2001,2,6
07/02/2001,262.8,2001,2,7
08/02/2001,263.5,2001,2,8
09/02/2001,260.5,2001,2,9
12/02/2001,262.5,2001,2,12
13/02/2001,261,2001,2,13
14/02/2001,260,2001,2,14
15/02/2001,259.5,2001,2,15
16/02/2001,255,2001,2,16
20/02/2001,255,2001,2,20
21/02/2001,256.7,2001,2,21
22/02/2001,258.5,2001,2,22
23/02/2001,260,2001,2,23
26/02/2001,262,2001,2,26
27/02/2001,267,2001,2,27
28/02/2001,266.8,2001,2,28
01/03/2001,265.2,2001,3,1
02/03/2001,262.1,2001,3,2
05/03/2001,262.5,2001,3,5
06/03/2001,260,2001,3,6
07/03/2001,259,2001,3,7
08/03/2001,265.4,2001,3,8
09/03/2001,270.8,2001,3,9
12/03/2001,271.6,2001,3,12
13/03/2001,266.8,2001,3,13
14/03/2001,262.5,2001,3,14
15/03/2001,260,2001,3,15
16/03/2001,257,2001,3,16
19/03/2001,259.8,2001,3,19
20/03/2001,260.5,2001,3,20
21/03/2001,261.9,2001,3,21
22/03/2001,261.1,2001,3,22
23/03/2001,261.5,2001,3,23
26/03/2001,261.9,2001,3,26
27/03/2001,261,2001,3,27
28/03/2001,259.7,2001,3,28
29/03/2001,259.7,2001,3,29
30/03/2001,258.8,2001,3,30
02/04/2001,257.2,2001,4,2
03/04/2001,255.5,2001,4,3
04/04/2001,258.3,2001,4,4
05/04/2001,259.1,2001,4,5
06/04/2001,259.5,2001,4,6
09/04/2001,260.5,2001,4,9
10/04/2001,258.3,2001,4,10
11/04/2001,257.7,2001,4,11
12/04/2001,259,2001,4,12
16/04/2001,260.5,2001,4,16
17/04/2001,260.5,2001,4,17
18/04/2001,260,2001,4,18
19/04/2001,263,2001,4,19
20/04/2001,264.8,2001,4,20
23/04/2001,263.6,2001,4,23
24/04/2001,265,2001,4,24
25/04/2001,263.5,2001,4,25
26/04/2001,264.4,2001,4,26
27/04/2001,263.9,2001,4,27
30/04/2001,264,2001,4,30
01/05/2001,264.4,2001,5,1
02/05/2001,265.4,2001,5,2
03/05/2001,266.3,2001,5,3
04/05/2001,266.1,2001,5,4
07/05/2001,266.1,2001,5,7
08/05/2001,265.1,2001,5,8
09/05/2001,270,2001,5,9
10/05/2001,269.1,2001,5,10
11/05/2001,267.9,2001,5,11
14/05/2001,268.3,2001,5,14
15/05/2001,268.1,2001,5,15
16/05/2001,272,2001,5,16
17/05/2001,273.6,2001,5,17
18/05/2001,287.4,2001,5,18
21/05/2001,285.4,2001,5,21
22/05/2001,285.1,2001,5,22
23/05/2001,283.6,2001,5,23
24/05/2001,279.1,2001,5,24
25/05/2001,277.9,2001,5,25
29/05/2001,273.8,2001,5,29
30/05/2001,274.4,2001,5,30
31/05/2001,265.1,2001,5,31
01/06/2001,264.7,2001,6,1
05/06/2001,265.4,2001,6,5
06/06/2001,266.7,2001,6,6
07/06/2001,266.3,2001,6,7
08/06/2001,266.2,2001,6,8
11/06/2001,271.1,2001,6,11
12/06/2001,270,2001,6,12
13/06/2001,271.9,2001,6,13
14/06/2001,272,2001,6,14
15/06/2001,274.3,2001,6,15
18/06/2001,272,2001,6,18
19/06/2001,273,2001,6,19
20/06/2001,272.7,2001,6,20
21/06/2001,271.8,2001,6,21
22/06/2001,273.6,2001,6,22
25/06/2001,271.3,2001,6,25
26/06/2001,274,2001,6,26
27/06/2001,275.7,2001,6,27
28/06/2001,269.3,2001,6,28
29/06/2001,270.6,2001,6,29
02/07/2001,269.4,2001,7,2
03/07/2001,267.6,2001,7,3
05/07/2001,263.7,2001,7,5
06/07/2001,265.9,2001,7,6
09/07/2001,266.5,2001,7,9
10/07/2001,266.2,2001,7,10
11/07/2001,268.3,2001,7,11
12/07/2001,266.6,2001,7,12
13/07/2001,267.1,2001,7,13
16/07/2001,266.9,2001,7,16
17/07/2001,268.1,2001,7,17
18/07/2001,270.4,2001,7,18
19/07/2001,269.4,2001,7,19
20/07/2001,269.9,2001,7,20
23/07/2001,268.8,2001,7,23
24/07/2001,269.7,2001,7,24
25/07/2001,267.7,2001,7,25
26/07/2001,266.2,2001,7,26
27/07/2001,267.4,2001,7,27
30/07/2001,267.3,2001,7,30
31/07/2001,264.8,2001,7,31
01/08/2001,266.2,2001,8,1
02/08/2001,267,2001,8,2
03/08/2001,267,2001,8,3
06/08/2001,267.1,2001,8,6
07/08/2001,267,2001,8,7
08/08/2001,266.1,2001,8,8
09/08/2001,268,2001,8,9
10/08/2001,273.4,2001,8,10
13/08/2001,275.2,2001,8,13
14/08/2001,274.8,2001,8,14
15/08/2001,275,2001,8,15
