Date,Price
04/01/2000,281
05/01/2000,283.2
06/01/2000,281.4
07/01/2000,281.9
10/01/2000,281.7
11/01/2000,283.4
12/01/2000,282.7
13/01/2000,284.1
14/01/2000,283.9
18/01/2000,288.6
19/01/2000,289.8
20/01/2000,288.8
21/01/2000,289.3
24/01/2000,288
25/01/2000,286.3
26/01/2000,286.3
27/01/2000,287.1
28/01/2000,287.1
31/01/2000,283
01/02/2000,282.3
02/02/2000,283.5
03/02/2000,284.3
04/02/2000,289.3
07/02/2000,313
08/02/2000,303.9
09/02/2000,295
10/02/2000,307.9
11/02/2000,314
14/02/2000,311
15/02/2000,307.5
16/02/2000,302.3
17/02/2000,307
18/02/2000,306
22/02/2000,304
23/02/2000,303
24/02/2000,302.2
25/02/2000,297.8
28/02/2000,292.3
29/02/2000,292.4
01/03/2000,291.5
02/03/2000,288.2
03/03/2000,288.8
06/03/2000,287.9
07/03/2000,292.2
08/03/2000,288.9
09/03/2000,291.2
10/03/2000,288.6
13/03/2000,290.1
14/03/2000,288.3
15/03/2000,288.7
16/03/2000,286.1
17/03/2000,284.1
20/03/2000,285.6
21/03/2000,289.8
22/03/2000,287.8
23/03/2000,284.9
24/03/2000,284.7
27/03/2000,280.1
28/03/2000,279.2
29/03/2000,275.8
30/03/2000,275
31/03/2000,275.5
03/04/2000,278.4
04/04/2000,278.1
05/04/2000,284
06/04/2000,278.5
07/04/2000,280
10/04/2000,282.7
11/04/2000,282.9
12/04/2000,279.2
13/04/2000,280.5
14/04/2000,284.8
17/04/2000,283.2
18/04/2000,281
19/04/2000,281.3
20/04/2000,280
24/04/2000,280.9
25/04/2000,280.2
26/04/2000,277.5
27/04/2000,276.8
28/04/2000,273.1
01/05/2000,273.2
02/05/2000,275.4
03/05/2000,277.5
04/05/2000,279.6
05/05/2000,278.5
08/05/2000,276.4
09/05/2000,277
10/05/2000,277.7
11/05/2000,275.6
12/05/2000,276
15/05/2000,275.6
16/05/2000,275.5
17/05/2000,272.7
18/05/2000,273
19/05/2000,274.1
22/05/2000,275.8
23/05/2000,274.4
24/05/2000,273.5
25/05/2000,270.5
26/05/2000,272.2
30/05/2000,272.3
31/05/2000,272
01/06/2000,272
02/06/2000,275
05/06/2000,282.5
06/06/2000,286
07/06/2000,287.3
08/06/2000,286
09/06/2000,275.5
12/06/2000,284.5
13/06/2000,287.5
14/06/2000,290.3
15/06/2000,288
16/06/2000,291.5
19/06/2000,288
20/06/2000,285
21/06/2000,286.5
22/06/2000,288
23/06/2000,282.7
26/06/2000,284
27/06/2000,285.6
28/06/2000,292.5
29/06/2000,289.3
30/06/2000,290.1
05/07/2000,283.9
06/07/2000,283.2
07/07/2000,283.2
10/07/2000,283.6
11/07/2000,282.2
12/07/2000,280.4
13/07/2000,280
14/07/2000,281.1
17/07/2000,283.4
18/07/2000,282.5
19/07/2000,279
20/07/2000,279.8
21/07/2000,280.1
24/07/2000,278.8
25/07/2000,278.9
26/07/2000,279.4
27/07/2000,278.6
28/07/2000,278.5
31/07/2000,277.6
01/08/2000,276
02/08/2000,276.5
03/08/2000,275.3
04/08/2000,273
07/08/2000,273.5
08/08/2000,273.3
09/08/2000,271.5
10/08/2000,271.5
11/08/2000,273.2
14/08/2000,274.5
15/08/2000,274.4
16/08/2000,276.4
17/08/2000,277.8
18/08/2000,276
21/08/2000,275.5
22/08/2000,272.5
23/08/2000,271
24/08/2000,272.6
