Price,Year,Month,Day
281,2000,1,4
283.2,2000,1,5
281.4,2000,1,6
281.9,2000,1,7
281.7,2000,1,10
283.4,2000,1,11
282.7,2000,1,12
284.1,2000,1,13
283.9,2000,1,14
288.6,2000,1,18
289.8,2000,1,19
288.8,2000,1,20
289.3,2000,1,21
288,2000,1,24
286.3,2000,1,25
286.3,2000,1,26
287.1,2000,1,27
287.1,2000,1,28
283,2000,1,31
282.3,2000,2,1
283.5,2000,2,2
284.3,2000,2,3
289.3,2000,2,4
313,2000,2,7
303.9,2000,2,8
295,2000,2,9
307.9,2000,2,10
314,2000,2,11
311,2000,2,14
307.5,2000,2,15
302.3,2000,2,16
307,2000,2,17
306,2000,2,18
304,2000,2,22
303,2000,2,23
302.2,2000,2,24
297.8,2000,2,25
292.3,2000,2,28
292.4,2000,2,29
291.5,2000,3,1
288.2,2000,3,2
288.8,2000,3,3
287.9,2000,3,6
292.2,2000,3,7
288.9,2000,3,8
291.2,2000,3,9
288.6,2000,3,10
290.1,2000,3,13
288.3,2000,3,14
288.7,2000,3,15
286.1,2000,3,16
284.1,2000,3,17
285.6,2000,3,20
289.8,2000,3,21
287.8,2000,3,22
284.9,2000,3,23
284.7,2000,3,24
280.1,2000,3,27
279.2,2000,3,28
275.8,2000,3,29
275,2000,3,30
275.5,2000,3,31
278.4,2000,4,3
278.1,2000,4,4
284,2000,4,5
278.5,2000,4,6
280,2000,4,7
282.7,2000,4,10
282.9,2000,4,11
279.2,2000,4,12
280.5,2000,4,13
284.8,2000,4,14
283.2,2000,4,17
281,2000,4,18
281.3,2000,4,19
280,2000,4,20
280.9,2000,4,24
280.2,2000,4,25
277.5,2000,4,26
276.8,2000,4,27
273.1,2000,4,28
273.2,2000,5,1
275.4,2000,5,2
277.5,2000,5,3
279.6,2000,5,4
278.5,2000,5,5
276.4,2000,5,8
277,2000,5,9
277.7,2000,5,10
275.6,2000,5,11
276,2000,5,12
275.6,2000,5,15
275.5,2000,5,16
272.7,2000,5,17
273,2000,5,18
274.1,2000,5,19
275.8,2000,5,22
274.4,2000,5,23
273.5,2000,5,24
270.5,2000,5,25
272.2,2000,5,26
272.3,2000,5,30
272,2000,5,31
272,2000,6,1
275,2000,6,2
282.5,2000,6,5
286,2000,6,6
287.3,2000,6,7
286,2000,6,8
275.5,2000,6,9
284.5,2000,6,12
287.5,2000,6,13
290.3,2000,6,14
288,2000,6,15
291.5,2000,6,16
288,2000,6,19
285,2000,6,20
286.5,2000,6,21
288,2000,6,22
282.7,2000,6,23
284,2000,6,26
285.6,2000,6,27
292.5,2000,6,28
289.3,2000,6,29
290.1,2000,6,30
283.9,2000,7,5
283.2,2000,7,6
283.2,2000,7,7
283.6,2000,7,10
282.2,2000,7,11
280.4,2000,7,12
280,2000,7,13
281.1,2000,7,14
283.4,2000,7,17
282.5,2000,7,18
279,2000,7,19
279.8,2000,7,20
280.1,2000,7,21
278.8,2000,7,24
278.9,2000,7,25
279.4,2000,7,26
278.6,2000,7,27
278.5,2000,7,28
277.6,2000,7,31
276,2000,8,1
276.5,2000,8,2
275.3,2000,8,3
273,2000,8,4
273.5,2000,8,7
273.3,2000,8,8
271.5,2000,8,9
271.5,2000,8,10
273.2,2000,8,11
274.5,2000,8,14
274.4,2000,8,15
276.4,2000,8,16
277.8,2000,8,17
276,2000,8,18
275.5,2000,8,21
272.5,2000,8,22
271,2000,8,23
272.6,2000,8,24
272.8,2000,8,25
274,2000,8,28
273.5,2000,8,29
273.9,2000,8,30
274.8,2000,8,31
277,2000,9,1
275.8,2000,9,5
274.2,2000,9,6
274,2000,9,7
273.3,2000,9,8
273.1,2000,9,11
272.9,2000,9,12
272.8,2000,9,13
272.4,2000,9,14
272.3,2000,9,15
271.4,2000,9,18
271.9,2000,9,19
269,2000,9,20
270.3,2000,9,21
271.8,2000,9,22
274.1,2000,9,25
273.9,2000,9,26
278.4,2000,9,27
277.5,2000,9,28
274.6,2000,9,29
272.8,2000,10,2
272.1,2000,10,3
270.5,2000,10,4
270.3,2000,10,5
269.8,2000,10,6
269.1,2000,10,9
272.4,2000,10,10
272.5,2000,10,11
274,2000,10,12
274.2,2000,10,13
271.5,2000,10,16
271.1,2000,10,17
270.3,2000,10,18
270.1,2000,10,19
271.2,2000,10,20
271.7,2000,10,23
269.8,2000,10,24
267.1,2000,10,25
266,2000,10,26
265.5,2000,10,27
264.3,2000,10,30
264.5,2000,10,31
263.9,2000,11,1
264.4,2000,11,2
264.6,2000,11,3
264.5,2000,11,6
264.3,2000,11,7
265,2000,11,8
265.8,2000,11,9
264.5,2000,11,10
264.3,2000,11,13
264.9,2000,11,14
265.1,2000,11,15
265.8,2000,11,16
265.2,2000,11,17
266.3,2000,11,20
265.7,2000,11,21
266.3,2000,11,22
270.1,2000,11,27
269.8,2000,11,28
269.6,2000,11,29
266.4,2000,11,30
269.7,2000,12,1
271,2000,12,4
270.9,2000,12,5
271,2000,12,6
274.3,2000,12,7
272.7,2000,12,8
270.7,2000,12,11
270.3,2000,12,12
270,2000,12,13
268.6,2000,12,14
269.2,2000,12,15
270,2000,12,18
269.7,2000,12,19
272,2000,12,20
273,2000,12,21
274,2000,12,22
273.2,2000,12,26
274.5,2000,12,27
273.2,2000,12,28
272,2000,12,29
268.4,2001,1,2
268,2001,1,3
267.3,2001,1,4
268,2001,1,5
268,2001,1,8
267.5,2001,1,9
264.7,2001,1,10
264,2001,1,11
263.9,2001,1,12
263.3,2001,1,16
263.2,2001,1,17
264.2,2001,1,18
264.3,2001,1,19
266.4,2001,1,22
266.1,2001,1,23
264.3,2001,1,24
264.5,2001,1,25
262.8,2001,1,26
262.8,2001,1,29
262.9,2001,1,30
265.2,2001,1,31
266.3,2001,2,1
268,2001,2,2
265.1,2001,2,5
263.9,2001,2,6
262.8,2001,2,7
263.5,2001,2,8
260.5,2001,2,9
262.5,2001,2,12
261,2001,2,13
260,2001,2,14
259.5,2001,2,15
255,2001,2,16
255,2001,2,20
256.7,2001,2,21
258.5,2001,2,22
260,2001,2,23
262,2001,2,26
267,2001,2,27
266.8,2001,2,28
